having_mhi_hurts_career,gender,amount
Maybe,female,88
Maybe,male,311
Maybe,other,9
"No, I don't think it would",female,19
"No, I don't think it would",male,75
"No, I don't think it would",other,4
"No, it has not",female,3
"No, it has not",male,20
"Yes, I think it would",female,99
"Yes, I think it would",male,262
"Yes, I think it would",other,7
"Yes, it has",female,23
"Yes, it has",male,49
"Yes, it has",other,4
