comfort_discussing_mhd_coworkers,comfort_discussing_mhd_supervisor,discussing_mhd_neg_cons,discussing_phi_neg_cons,taking_serious_mh_ph,having_mhi_hurts_career,gender,age
Maybe,Maybe,Maybe,No,No,"No, I don't think it would",male,33
Maybe,Yes,No,No,Yes,"Yes, I think it would",male,53
Maybe,Yes,Maybe,No,No,"Yes, I think it would",male,32
Maybe,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",male,32
Maybe,No,Maybe,No,I don't know,"Yes, I think it would",male,27
Maybe,Maybe,Maybe,Maybe,Yes,Maybe,male,34
Yes,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",male,26
Yes,Yes,Maybe,No,Yes,"No, it has not",male,39
No,Yes,No,No,I don't know,"Yes, I think it would",male,32
No,Maybe,Yes,Maybe,No,"Yes, I think it would",other,33
No,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,58
No,No,Yes,Yes,No,"Yes, I think it would",male,30
No,No,Maybe,No,I don't know,Maybe,male,45
No,No,Yes,Yes,I don't know,"Yes, I think it would",female,26
No,No,Yes,No,No,"Yes, I think it would",male,22
Maybe,Yes,Maybe,No,I don't know,Maybe,male,3
No,Yes,No,Maybe,Yes,Maybe,male,34
Maybe,Yes,No,No,Yes,Maybe,female,25
Maybe,Maybe,No,No,I don't know,"Yes, it has",male,27
No,No,Yes,No,No,"Yes, I think it would",female,25
Yes,No,Maybe,Maybe,I don't know,"Yes, I think it would",female,36
No,No,Yes,Maybe,I don't know,Maybe,male,26
Maybe,Maybe,No,No,I don't know,"No, I don't think it would",male,34
Maybe,Maybe,Yes,No,No,"Yes, it has",male,34
Maybe,No,Maybe,No,No,"No, I don't think it would",male,25
No,No,Maybe,Maybe,I don't know,Maybe,female,24
No,Maybe,Maybe,No,I don't know,"Yes, I think it would",female,47
Yes,Yes,No,No,Yes,Maybe,male,37
No,No,Yes,No,I don't know,"Yes, I think it would",male,30
No,Maybe,Maybe,No,Yes,"Yes, I think it would",male,42
No,Yes,No,No,I don't know,Maybe,male,31
Maybe,Maybe,Maybe,No,I don't know,Maybe,female,28
Yes,Yes,Maybe,No,I don't know,"Yes, it has",female,36
Maybe,Maybe,Yes,No,I don't know,"Yes, it has",female,36
No,No,No,No,I don't know,Maybe,male,32
No,Maybe,Maybe,No,I don't know,Maybe,female,41
Maybe,Maybe,No,No,Yes,"No, I don't think it would",male,36
Maybe,No,No,Maybe,Yes,Maybe,female,54
Yes,Maybe,Maybe,No,I don't know,Maybe,female,34
Yes,Yes,Yes,No,I don't know,"Yes, I think it would",male,36
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,27
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,32
Yes,Yes,No,No,Yes,Maybe,male,44
Maybe,Yes,No,No,Yes,Maybe,male,33
No,No,Maybe,No,No,"Yes, I think it would",male,38
Maybe,Maybe,Maybe,No,No,"Yes, I think it would",male,38
No,No,Maybe,Maybe,No,"Yes, I think it would",female,22
No,Yes,Maybe,Maybe,No,"Yes, I think it would",female,27
Yes,No,Maybe,No,I don't know,"Yes, I think it would",male,66
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,22
Yes,Yes,No,No,No,"No, I don't think it would",male,29
No,Yes,Yes,No,I don't know,"Yes, it has",male,33
No,No,Maybe,No,I don't know,"Yes, I think it would",male,27
No,Maybe,Yes,Maybe,I don't know,"Yes, it has",male,44
No,No,Maybe,No,I don't know,"Yes, I think it would",male,32
Maybe,No,Yes,No,No,"Yes, I think it would",female,59
Yes,Yes,No,No,Yes,"No, I don't think it would",male,32
No,No,Yes,No,No,"Yes, I think it would",male,41
Yes,Maybe,No,No,No,"Yes, I think it would",male,43
Maybe,Yes,No,No,Yes,"No, I don't think it would",female,29
Maybe,Yes,No,No,Yes,"Yes, I think it would",male,49
No,No,Yes,Yes,I don't know,Maybe,male,36
No,No,Maybe,Maybe,No,"Yes, I think it would",male,37
No,No,Yes,No,I don't know,"Yes, I think it would",female,23
Maybe,Yes,No,No,Yes,Maybe,male,32
No,Maybe,No,No,I don't know,Maybe,male,28
No,Maybe,No,No,I don't know,Maybe,male,28
Yes,Yes,No,No,Yes,"Yes, I think it would",male,35
Yes,Yes,No,No,Yes,"No, I don't think it would",male,35
Yes,Yes,No,No,I don't know,"No, I don't think it would",male,31
Maybe,Yes,No,No,Yes,"Yes, I think it would",male,37
Yes,Yes,No,No,Yes,Maybe,female,34
Maybe,Yes,No,No,I don't know,"No, I don't think it would",female,39
No,Maybe,Maybe,No,I don't know,"Yes, I think it would",female,29
Yes,Yes,No,No,No,Maybe,male,63
No,No,Yes,Yes,No,"Yes, it has",other,28
Yes,Yes,No,No,Yes,Maybe,male,19
No,No,Maybe,No,No,"Yes, I think it would",male,40
Yes,Yes,No,No,Yes,Maybe,female,27
No,No,Maybe,No,No,"Yes, it has",male,39
Yes,Yes,No,No,Yes,"No, I don't think it would",male,35
Maybe,No,Maybe,Maybe,No,"Yes, it has",female,42
Maybe,Yes,No,No,Yes,"No, I don't think it would",male,35
Maybe,Yes,No,No,Yes,"Yes, I think it would",female,31
No,No,Maybe,Maybe,I don't know,Maybe,male,39
No,Maybe,Maybe,Maybe,Yes,Maybe,male,45
No,Maybe,Maybe,No,No,Maybe,male,29
Yes,Yes,No,No,Yes,"No, I don't think it would",other,33
No,No,Yes,No,I don't know,"Yes, I think it would",male,31
Yes,Yes,Maybe,No,I don't know,"No, it has not",male,36
No,No,Maybe,Maybe,I don't know,Maybe,male,30
Maybe,No,Maybe,No,No,"Yes, I think it would",female,44
Maybe,No,Maybe,Maybe,Yes,"Yes, I think it would",female,23
Yes,Yes,No,No,No,Maybe,female,33
Maybe,No,Yes,Maybe,No,"Yes, I think it would",female,32
Yes,Yes,No,No,Yes,"No, I don't think it would",male,26
Yes,Yes,Maybe,Maybe,Yes,Maybe,male,30
No,No,Yes,Maybe,Yes,"Yes, I think it would",female,28
Yes,Yes,No,No,I don't know,"No, it has not",male,31
No,Maybe,Maybe,No,No,Maybe,male,29
No,No,Maybe,No,No,Maybe,male,33
Maybe,Maybe,Maybe,Maybe,Yes,"Yes, I think it would",female,43
Maybe,Yes,No,No,Yes,Maybe,male,28
No,Maybe,Maybe,No,I don't know,Maybe,male,38
Maybe,No,Maybe,No,I don't know,"Yes, I think it would",male,30
No,No,Maybe,Maybe,No,"Yes, I think it would",female,48
No,Maybe,Yes,Maybe,I don't know,"Yes, I think it would",male,28
Maybe,Yes,Maybe,No,I don't know,"Yes, I think it would",male,37
Yes,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",male,33
No,No,Yes,Yes,No,"Yes, I think it would",male,25
Maybe,No,Maybe,Maybe,No,"Yes, it has",male,40
Yes,Maybe,Maybe,No,I don't know,Maybe,male,38
Maybe,Yes,Maybe,No,I don't know,"No, I don't think it would",male,24
No,No,Maybe,Maybe,Yes,Maybe,male,43
No,No,Maybe,No,No,"Yes, I think it would",female,33
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,28
No,No,Maybe,No,No,"Yes, I think it would",male,39
Yes,Yes,No,No,Yes,"No, I don't think it would",male,33
Maybe,Maybe,No,No,I don't know,"Yes, I think it would",male,37
No,No,Maybe,No,No,"Yes, I think it would",female,41
No,No,No,No,I don't know,Maybe,female,30
Maybe,Maybe,No,No,Yes,Maybe,male,52
Maybe,Yes,No,No,I don't know,Maybe,male,35
Maybe,No,No,No,No,"Yes, I think it would",male,24
Maybe,Yes,No,No,I don't know,Maybe,male,39
Maybe,Maybe,Yes,Maybe,Yes,"Yes, I think it would",male,34
No,No,Yes,Yes,No,"Yes, I think it would",male,43
No,Maybe,No,No,I don't know,"Yes, I think it would",male,39
Yes,Yes,No,No,No,Maybe,male,34
Yes,Yes,Yes,Maybe,No,"Yes, it has",female,26
Maybe,No,Maybe,No,I don't know,Maybe,male,24
No,No,Yes,No,I don't know,"No, I don't think it would",female,27
Maybe,No,No,No,Yes,"Yes, I think it would",male,25
No,Maybe,Maybe,No,Yes,"Yes, I think it would",male,33
No,No,Yes,No,I don't know,"Yes, I think it would",male,34
No,No,Maybe,No,I don't know,"Yes, I think it would",male,27
No,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,33
Yes,Yes,Maybe,No,Yes,Maybe,male,50
Yes,No,Yes,No,No,"Yes, I think it would",female,32
Maybe,Maybe,No,No,Yes,"No, I don't think it would",male,39
Yes,Yes,No,No,Yes,Maybe,male,36
Maybe,Yes,Maybe,No,I don't know,Maybe,female,31
Maybe,Yes,No,No,No,Maybe,male,36
Yes,Yes,No,No,Yes,"Yes, I think it would",male,48
Maybe,Yes,No,No,I don't know,Maybe,male,31
Yes,Yes,No,No,Yes,Maybe,male,32
No,No,Yes,Maybe,No,"Yes, I think it would",male,32
Maybe,Yes,No,No,Yes,"No, I don't think it would",female,28
No,No,Yes,No,No,"Yes, I think it would",male,28
No,Maybe,Yes,Maybe,No,"Yes, I think it would",female,33
Maybe,Maybe,Yes,Maybe,No,Maybe,male,37
Maybe,Maybe,Maybe,No,I don't know,"Yes, it has",female,27
Maybe,Maybe,No,No,I don't know,"Yes, I think it would",male,39
Maybe,Yes,Maybe,No,I don't know,Maybe,female,34
Maybe,Yes,No,No,Yes,Maybe,female,31
No,No,Yes,No,No,"Yes, I think it would",male,39
No,No,Maybe,Maybe,No,Maybe,male,46
Maybe,Yes,No,No,Yes,"No, I don't think it would",male,28
No,No,Maybe,No,Yes,"Yes, I think it would",male,32
Yes,Yes,No,No,Yes,"Yes, it has",male,51
Yes,Yes,No,No,I don't know,"Yes, I think it would",male,29
Yes,Yes,No,No,I don't know,"No, I don't think it would",male,32
No,Maybe,Maybe,No,No,"Yes, I think it would",male,52
Maybe,Maybe,Yes,Maybe,No,"Yes, I think it would",male,35
Yes,Yes,Maybe,No,I don't know,"Yes, I think it would",male,38
No,Yes,Maybe,No,I don't know,"No, I don't think it would",male,27
No,Yes,No,No,Yes,"Yes, it has",female,40
No,No,Yes,Maybe,No,"Yes, I think it would",male,32
Maybe,Maybe,Maybe,No,No,"Yes, I think it would",female,28
Maybe,Maybe,Maybe,No,Yes,Maybe,male,31
No,No,No,No,I don't know,Maybe,male,35
Yes,Yes,No,No,Yes,"No, I don't think it would",male,35
Maybe,Maybe,No,No,I don't know,Maybe,male,38
No,Maybe,No,No,Yes,Maybe,male,33
Yes,Yes,No,No,Yes,Maybe,male,35
Maybe,Maybe,No,No,I don't know,Maybe,female,30
No,Maybe,No,No,I don't know,Maybe,male,28
Maybe,Maybe,Maybe,No,I don't know,Maybe,other,21
Maybe,Yes,Maybe,No,No,Maybe,male,31
Maybe,Yes,No,No,I don't know,Maybe,male,30
Maybe,Yes,No,No,Yes,Maybe,male,30
Yes,Yes,No,No,Yes,Maybe,male,31
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,32
Maybe,Yes,No,No,Yes,"No, I don't think it would",female,45
No,No,Maybe,No,I don't know,"Yes, I think it would",male,27
No,Maybe,No,No,Yes,"Yes, I think it would",female,28
Maybe,Maybe,Maybe,No,I don't know,"No, I don't think it would",male,38
Maybe,Yes,Maybe,No,Yes,"Yes, it has",male,38
Maybe,Yes,No,No,Yes,"No, I don't think it would",male,34
No,Maybe,Yes,Maybe,No,"Yes, it has",female,40
No,Maybe,Maybe,No,I don't know,Maybe,male,28
Yes,Yes,No,No,I don't know,Maybe,male,33
Maybe,Yes,No,No,I don't know,Maybe,male,27
No,No,Yes,No,I don't know,"Yes, I think it would",male,33
Maybe,Yes,Maybe,No,I don't know,"Yes, I think it would",male,34
No,No,Maybe,Maybe,I don't know,"Yes, I think it would",male,35
Maybe,Yes,Maybe,No,I don't know,Maybe,male,39
Maybe,Maybe,No,No,I don't know,Maybe,male,35
Yes,Maybe,No,No,No,Maybe,male,34
Yes,Maybe,No,No,No,"No, I don't think it would",male,42
No,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,30
No,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,46
Yes,Yes,No,No,Yes,"Yes, I think it would",male,33
Yes,Yes,Maybe,Maybe,I don't know,Maybe,male,30
Yes,Yes,No,No,No,Maybe,male,30
No,No,Yes,Maybe,I don't know,"Yes, it has",female,31
Maybe,Yes,Maybe,No,No,Maybe,male,38
Yes,Yes,No,No,Yes,"No, I don't think it would",male,32
No,No,Yes,No,I don't know,"Yes, it has",male,32
Maybe,Maybe,Maybe,No,No,"Yes, I think it would",male,47
Maybe,Yes,No,No,Yes,Maybe,male,39
No,No,Yes,Yes,No,"Yes, I think it would",male,36
Maybe,No,Maybe,No,I don't know,"Yes, I think it would",male,30
Yes,Yes,Maybe,Maybe,No,Maybe,male,33
Maybe,Yes,Maybe,No,I don't know,"No, I don't think it would",male,26
Yes,Yes,No,No,Yes,"No, I don't think it would",male,34
Yes,Yes,Yes,No,No,"Yes, I think it would",male,37
Yes,Yes,Maybe,No,Yes,"Yes, I think it would",female,30
No,Maybe,No,No,Yes,Maybe,male,32
Maybe,Yes,Maybe,No,No,Maybe,male,35
Maybe,Maybe,No,No,Yes,"Yes, I think it would",male,29
Yes,Yes,No,No,Yes,"No, I don't think it would",male,29
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,30
Yes,Yes,No,No,Yes,Maybe,male,38
Yes,Yes,Maybe,No,I don't know,Maybe,male,30
No,Maybe,No,Maybe,I don't know,Maybe,male,26
Maybe,Maybe,No,No,I don't know,Maybe,male,24
Maybe,No,Yes,Maybe,No,"Yes, I think it would",male,35
Maybe,Yes,Maybe,No,Yes,"Yes, I think it would",male,38
No,No,Maybe,Maybe,I don't know,Maybe,other,36
Maybe,Maybe,No,No,No,Maybe,male,35
Yes,Yes,No,No,Yes,"No, it has not",female,32
No,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",female,32
Maybe,Maybe,Maybe,No,I don't know,Maybe,female,34
No,Maybe,Maybe,No,No,"Yes, I think it would",female,40
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,30
Yes,Yes,Maybe,Maybe,Yes,Maybe,female,47
Maybe,Maybe,Yes,Maybe,I don't know,"Yes, I think it would",male,48
No,Maybe,Yes,Maybe,No,"Yes, it has",male,29
Maybe,Yes,No,No,Yes,Maybe,male,52
Yes,Yes,No,No,Yes,"No, I don't think it would",female,34
Maybe,Yes,No,No,Yes,Maybe,male,34
Maybe,Maybe,Maybe,No,No,Maybe,male,27
No,No,Maybe,No,No,Maybe,male,30
Yes,Yes,No,No,Yes,"No, it has not",male,40
Maybe,Yes,No,No,Yes,"Yes, it has",male,35
No,Maybe,Maybe,No,Yes,"Yes, I think it would",female,43
Maybe,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",female,36
No,No,Yes,No,No,"Yes, I think it would",male,38
Yes,Maybe,Maybe,No,I don't know,Maybe,male,35
Maybe,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",female,35
Maybe,Maybe,Yes,Maybe,No,"Yes, I think it would",male,45
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,27
No,No,Maybe,Maybe,I don't know,Maybe,male,26
No,No,Yes,Maybe,No,"Yes, it has",male,41
Yes,No,Maybe,No,I don't know,Maybe,male,43
Maybe,Yes,Yes,No,No,"Yes, I think it would",male,33
No,No,No,No,Yes,"Yes, I think it would",male,38
Yes,Maybe,Maybe,Maybe,Yes,Maybe,male,42
Maybe,Maybe,Maybe,No,No,"No, I don't think it would",male,30
Maybe,Yes,Maybe,Maybe,Yes,Maybe,male,43
Yes,Yes,No,No,Yes,"Yes, I think it would",female,37
No,Maybe,Maybe,Maybe,No,"Yes, I think it would",male,25
No,No,Yes,No,No,"Yes, I think it would",male,27
No,No,Maybe,No,I don't know,"Yes, it has",other,31
Maybe,Maybe,No,No,Yes,Maybe,male,31
No,Maybe,Maybe,No,Yes,"Yes, I think it would",male,33
Maybe,No,Yes,Yes,No,"Yes, it has",male,43
Maybe,Yes,No,No,I don't know,Maybe,male,49
Maybe,Yes,Maybe,No,Yes,"Yes, I think it would",male,35
Yes,No,Yes,Yes,No,"Yes, I think it would",male,53
No,Maybe,No,No,Yes,Maybe,male,45
No,No,Yes,Maybe,No,"Yes, I think it would",male,40
No,Maybe,Yes,Maybe,I don't know,"Yes, I think it would",male,52
Maybe,Maybe,Maybe,No,No,Maybe,male,41
Maybe,Maybe,No,No,Yes,Maybe,male,31
No,Maybe,Maybe,No,No,"Yes, I think it would",male,44
Maybe,Maybe,Maybe,No,I don't know,"Yes, it has",male,37
No,No,Maybe,Yes,No,"Yes, I think it would",male,22
No,Maybe,Maybe,No,Yes,"Yes, I think it would",female,31
No,No,Yes,Maybe,No,"Yes, I think it would",female,36
No,Maybe,Maybe,Maybe,No,"No, I don't think it would",female,25
Yes,Yes,No,No,Yes,"No, I don't think it would",female,22
No,No,Yes,Maybe,No,"Yes, I think it would",female,36
No,No,Yes,Yes,No,"Yes, I think it would",female,26
Maybe,Yes,No,No,No,"Yes, I think it would",male,43
No,Yes,Maybe,Maybe,I don't know,"Yes, I think it would",male,39
Yes,Maybe,Maybe,No,I don't know,Maybe,male,46
Maybe,Maybe,Yes,No,Yes,Maybe,male,32
No,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",male,44
No,No,Yes,Maybe,Yes,"Yes, I think it would",male,36
Maybe,Yes,No,No,Yes,"No, I don't think it would",female,31
Maybe,No,Yes,Yes,I don't know,"Yes, it has",male,36
No,No,No,No,I don't know,"Yes, I think it would",male,23
No,No,Maybe,No,I don't know,Maybe,male,23
Yes,Yes,No,No,Yes,Maybe,female,49
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,39
No,No,Yes,Yes,Yes,"Yes, I think it would",male,37
Yes,Yes,No,No,I don't know,Maybe,male,26
Maybe,No,Maybe,No,No,Maybe,male,41
Maybe,Maybe,Maybe,No,I don't know,"No, I don't think it would",male,33
Yes,Yes,Yes,Maybe,No,Maybe,female,74
No,Yes,Maybe,No,Yes,Maybe,male,28
No,No,Yes,Maybe,No,"Yes, I think it would",male,47
Maybe,Yes,No,Maybe,No,Maybe,male,51
No,No,Yes,Maybe,I don't know,"Yes, it has",male,26
No,No,Yes,No,I don't know,Maybe,female,32
No,No,Yes,Maybe,I don't know,"Yes, I think it would",male,57
Maybe,Yes,No,No,Yes,"Yes, it has",male,39
No,Maybe,Maybe,No,I don't know,Maybe,female,26
No,No,Yes,Maybe,I don't know,"Yes, I think it would",male,38
Yes,Maybe,Maybe,No,Yes,"Yes, I think it would",male,33
No,Maybe,Maybe,No,I don't know,Maybe,male,30
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",female,25
Yes,Yes,Maybe,No,No,"Yes, I think it would",male,40
Yes,Yes,Maybe,Maybe,Yes,Maybe,female,26
Yes,Maybe,Maybe,No,No,"Yes, I think it would",male,34
No,No,Yes,Maybe,I don't know,"Yes, I think it would",female,46
No,No,Yes,Maybe,No,"Yes, it has",female,31
Yes,Yes,Maybe,No,No,"Yes, I think it would",male,30
Maybe,Maybe,Maybe,No,No,Maybe,male,29
Yes,Yes,No,No,Yes,"No, it has not",male,31
Yes,Yes,No,No,I don't know,Maybe,male,40
Yes,Yes,Maybe,No,I don't know,Maybe,male,39
Maybe,Maybe,Maybe,No,Yes,"Yes, I think it would",male,37
Yes,Yes,Maybe,No,Yes,Maybe,male,27
No,No,Maybe,Maybe,I don't know,"Yes, I think it would",male,45
Yes,Yes,No,No,Yes,"No, I don't think it would",female,47
Yes,Yes,No,No,Yes,"No, I don't think it would",male,33
No,No,Maybe,Maybe,I don't know,"Yes, I think it would",male,32
Yes,Yes,No,No,Yes,Maybe,male,29
Maybe,Maybe,No,No,I don't know,"No, I don't think it would",male,36
No,No,Yes,No,I don't know,"Yes, I think it would",female,35
Maybe,Yes,Maybe,No,Yes,Maybe,male,40
No,No,Maybe,No,I don't know,"Yes, I think it would",male,36
No,No,Yes,Maybe,I don't know,"Yes, I think it would",female,39
Maybe,Yes,No,No,Yes,Maybe,male,38
Yes,Yes,No,No,Yes,Maybe,male,23
No,No,Yes,Maybe,I don't know,"Yes, I think it would",male,29
Maybe,Maybe,No,No,Yes,"No, I don't think it would",male,38
Maybe,Maybe,Maybe,No,No,"Yes, I think it would",female,34
No,No,Maybe,Maybe,No,"Yes, I think it would",male,28
Yes,Yes,No,No,Yes,"Yes, it has",male,38
No,No,Yes,Maybe,No,"Yes, I think it would",female,25
Yes,Yes,No,No,Yes,"No, I don't think it would",female,36
No,No,Yes,Yes,No,"Yes, I think it would",female,57
No,No,Maybe,No,No,"Yes, I think it would",male,46
No,No,Yes,No,No,"Yes, I think it would",male,49
No,Maybe,Maybe,No,No,"Yes, I think it would",male,34
Maybe,Yes,No,No,Yes,Maybe,male,43
Maybe,Maybe,Maybe,Maybe,No,Maybe,male,33
Yes,Yes,No,No,Yes,"No, I don't think it would",male,28
Maybe,Maybe,Yes,Yes,Yes,Maybe,female,33
No,No,Yes,Maybe,I don't know,"Yes, I think it would",female,22
Yes,Maybe,No,No,No,"No, it has not",male,32
No,No,Yes,No,No,"Yes, I think it would",male,43
Maybe,Yes,No,No,I don't know,Maybe,male,44
No,Maybe,Yes,Maybe,I don't know,"Yes, I think it would",male,27
Maybe,Maybe,Yes,No,No,"Yes, I think it would",male,30
Maybe,Yes,No,Maybe,I don't know,"Yes, I think it would",female,43
No,Maybe,Maybe,No,I don't know,"Yes, I think it would",female,30
Maybe,Yes,Maybe,Maybe,I don't know,Maybe,female,33
No,No,Yes,Yes,No,"Yes, I think it would",female,26
No,Yes,Yes,Maybe,Yes,"Yes, I think it would",male,47
No,Maybe,Maybe,No,I don't know,Maybe,male,39
Maybe,No,Maybe,Maybe,No,"Yes, I think it would",male,36
Maybe,Maybe,No,No,Yes,"No, I don't think it would",male,34
No,No,Maybe,No,I don't know,Maybe,female,25
Maybe,No,Maybe,No,Yes,Maybe,male,28
Yes,Yes,No,No,Yes,Maybe,male,38
Maybe,Yes,No,No,Yes,"No, I don't think it would",male,39
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,32
Maybe,Maybe,Maybe,No,I don't know,"Yes, it has",female,31
No,No,No,No,No,"Yes, I think it would",female,30
Maybe,No,Maybe,Maybe,I don't know,"Yes, it has",female,27
Maybe,Maybe,No,No,I don't know,Maybe,male,29
No,No,Maybe,Maybe,Yes,"Yes, I think it would",male,39
Maybe,No,Maybe,Maybe,No,"Yes, I think it would",male,28
Yes,Yes,No,No,I don't know,"No, I don't think it would",male,70
No,Maybe,Maybe,No,Yes,"Yes, I think it would",male,25
Yes,Yes,No,Maybe,Yes,"No, I don't think it would",male,45
Yes,Yes,No,No,I don't know,"No, I don't think it would",female,63
Maybe,Maybe,No,No,I don't know,"No, it has not",male,40
Maybe,Maybe,Maybe,No,Yes,"Yes, it has",male,39
Maybe,Maybe,No,No,Yes,Maybe,female,31
No,No,Yes,Yes,No,"Yes, it has",male,34
Maybe,Yes,Maybe,Maybe,I don't know,Maybe,male,45
Yes,Yes,No,No,Yes,"No, I don't think it would",male,43
Maybe,Yes,Maybe,No,Yes,Maybe,male,29
Maybe,Yes,Maybe,Maybe,I don't know,"Yes, it has",other,27
Maybe,Yes,Maybe,Maybe,Yes,Maybe,male,37
Maybe,Maybe,Yes,No,No,Maybe,other,41
No,No,No,No,I don't know,Maybe,female,30
No,No,Maybe,No,I don't know,Maybe,male,22
Maybe,Yes,No,No,Yes,Maybe,male,31
No,No,Maybe,Maybe,No,"Yes, I think it would",male,33
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,37
Maybe,Maybe,No,No,Yes,Maybe,male,42
Yes,Yes,Yes,Yes,No,"Yes, I think it would",male,31
Maybe,Maybe,Maybe,Maybe,Yes,"Yes, I think it would",male,29
Maybe,Maybe,No,No,I don't know,"No, I don't think it would",male,40
Maybe,Yes,Maybe,Maybe,Yes,Maybe,female,46
Maybe,Yes,No,No,Yes,Maybe,male,43
No,No,Yes,No,I don't know,"Yes, it has",male,32
Maybe,No,Maybe,No,I don't know,"Yes, I think it would",male,40
Maybe,Maybe,Maybe,No,I don't know,"Yes, it has",male,32
Maybe,Yes,No,No,Yes,Maybe,male,24
Maybe,Maybe,No,No,I don't know,Maybe,male,32
No,No,Maybe,Maybe,I don't know,Maybe,male,29
Maybe,Yes,Maybe,No,No,Maybe,male,41
Yes,Yes,No,No,Yes,"No, I don't think it would",female,33
Maybe,Yes,No,No,Yes,"Yes, I think it would",male,25
Yes,Yes,Yes,No,No,Maybe,other,24
Yes,Yes,No,No,I don't know,Maybe,male,39
No,No,Maybe,No,Yes,"Yes, I think it would",male,39
Yes,Yes,Maybe,Maybe,I don't know,Maybe,male,31
Yes,Yes,No,No,Yes,"Yes, I think it would",male,37
Maybe,Maybe,Maybe,No,No,"Yes, I think it would",male,42
No,Maybe,Maybe,No,No,"Yes, I think it would",male,30
No,No,No,No,I don't know,"Yes, I think it would",male,30
Maybe,No,Yes,No,I don't know,"Yes, I think it would",male,33
Maybe,No,Maybe,Maybe,I don't know,Maybe,male,31
No,No,Yes,Yes,No,"Yes, I think it would",female,39
Yes,Yes,No,No,Yes,"Yes, it has",male,27
No,No,Maybe,Maybe,No,Maybe,male,31
Maybe,No,Maybe,No,No,Maybe,female,30
Maybe,Yes,No,No,Yes,"Yes, I think it would",male,34
No,No,Maybe,Maybe,I don't know,Maybe,female,50
No,Maybe,Maybe,No,I don't know,Maybe,male,41
Maybe,No,No,No,I don't know,Maybe,male,37
No,Maybe,No,No,Yes,"Yes, I think it would",male,32
Yes,Yes,No,No,I don't know,Maybe,male,38
No,No,Maybe,No,I don't know,"Yes, it has",male,27
No,No,Yes,Maybe,No,"Yes, I think it would",female,37
Maybe,Yes,Yes,Yes,I don't know,"Yes, I think it would",female,30
No,No,Yes,No,I don't know,"Yes, I think it would",male,21
No,No,Maybe,No,No,"Yes, I think it would",male,21
Yes,Yes,No,No,No,Maybe,male,28
No,No,Yes,Yes,I don't know,"Yes, I think it would",male,44
Maybe,Yes,No,No,I don't know,Maybe,male,39
No,Maybe,Maybe,No,I don't know,"Yes, I think it would",female,37
No,No,Maybe,Maybe,I don't know,"Yes, I think it would",male,35
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,21
Maybe,Maybe,Yes,Maybe,No,Maybe,female,26
Yes,Yes,No,No,No,Maybe,male,35
Yes,Yes,Maybe,Maybe,Yes,"No, it has not",male,56
No,No,Yes,Maybe,I don't know,"Yes, it has",male,37
Maybe,Yes,No,No,I don't know,Maybe,female,39
No,No,Yes,No,I don't know,"Yes, I think it would",male,34
Yes,Yes,No,No,No,Maybe,male,33
Maybe,Maybe,No,No,I don't know,Maybe,female,25
Maybe,Maybe,No,No,I don't know,Maybe,male,34
Maybe,Maybe,Maybe,Maybe,I don't know,Maybe,male,37
No,No,Yes,Maybe,No,"Yes, I think it would",male,26
Maybe,Yes,No,No,Yes,"Yes, I think it would",female,29
Maybe,No,Yes,No,No,Maybe,male,29
Maybe,No,Maybe,No,I don't know,Maybe,male,27
No,Yes,Yes,No,I don't know,"Yes, it has",female,27
No,Yes,No,No,I don't know,"No, I don't think it would",female,24
Yes,Yes,No,No,Yes,Maybe,male,28
No,Maybe,Maybe,No,No,"Yes, I think it would",male,22
No,No,Maybe,Maybe,No,"Yes, I think it would",male,32
Yes,Maybe,Maybe,No,I don't know,Maybe,female,35
No,Yes,Maybe,No,I don't know,"No, I don't think it would",male,26
No,Maybe,Yes,Yes,No,"Yes, I think it would",female,31
Maybe,Maybe,Maybe,Maybe,I don't know,"Yes, it has",male,37
Maybe,Maybe,No,No,I don't know,Maybe,male,24
Yes,Yes,No,No,Yes,"No, I don't think it would",male,33
Yes,Yes,No,No,I don't know,"No, I don't think it would",male,28
Maybe,No,Maybe,No,No,Maybe,male,46
