comfort_discussing_mhd_coworkers,comfort_discussing_mhd_supervisor,discussing_mhd_neg_cons,discussing_phi_neg_cons,taking_serious_mh_ph,having_mhi_hurts_career,gender,age
No,No,Yes,Maybe,No,"Yes, I think it would",male,45
Maybe,Yes,No,No,Yes,"No, I don't think it would",male,42
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,36
Yes,Yes,No,No,I don't know,"Yes, I think it would",male,29
Maybe,Maybe,Yes,Maybe,I don't know,"Yes, it has",male,31
No,No,Maybe,Maybe,No,"Yes, I think it would",male,25
Maybe,Yes,No,No,Yes,"Yes, I think it would",male,27
Maybe,Maybe,Maybe,Maybe,Yes,"Yes, I think it would",female,41
Maybe,Maybe,Maybe,No,No,"Yes, I think it would",male,21
No,Maybe,Maybe,Maybe,Yes,"Yes, I think it would",male,37
No,No,Maybe,No,I don't know,Maybe,male,40
No,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,36
Yes,Maybe,Maybe,Maybe,No,"Yes, I think it would",male,25
Maybe,Yes,Maybe,No,I don't know,Maybe,male,35
Maybe,Maybe,Maybe,Maybe,I don't know,"Yes, I think it would",male,37
No,Maybe,Maybe,Maybe,No,"Yes, I think it would",male,45
Yes,Yes,Maybe,Maybe,No,"Yes, it has",male,26
No,No,Maybe,No,No,"Yes, I think it would",female,22
Maybe,Maybe,No,No,I don't know,Maybe,female,46
Yes,Yes,No,No,Yes,Maybe,male,31
Yes,Yes,No,No,Yes,"No, it has not",male,27
Yes,Yes,No,No,Yes,Maybe,male,37
Yes,Yes,No,No,Yes,"Yes, I think it would",other,26
Maybe,Yes,No,No,I don't know,Maybe,male,23
Maybe,Maybe,Maybe,No,Yes,"Yes, I think it would",male,40
Maybe,Yes,No,No,No,Maybe,male,29
Yes,Yes,No,No,Yes,"No, I don't think it would",male,37
Yes,Yes,No,No,Yes,Maybe,female,34
Yes,Yes,No,No,Yes,"No, I don't think it would",male,40
Maybe,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,39
Maybe,Maybe,Maybe,No,Yes,Maybe,male,28
No,No,No,No,I don't know,Maybe,male,27
Yes,Yes,Maybe,Maybe,I don't know,Maybe,female,49
Yes,Yes,Maybe,No,No,"Yes, I think it would",male,35
Maybe,Maybe,Maybe,No,I don't know,Maybe,male,35
Yes,Maybe,Maybe,No,Yes,Maybe,male,32
No,No,Yes,Maybe,No,"Yes, I think it would",male,42
Maybe,Yes,Maybe,No,Yes,"Yes, I think it would",female,33
Yes,Yes,No,No,I don't know,"No, I don't think it would",male,35
Yes,Yes,No,No,Yes,"Yes, I think it would",male,24
Yes,Yes,No,No,No,Maybe,other,29
Maybe,Yes,Maybe,No,Yes,Maybe,male,29
Yes,Maybe,Maybe,No,I don't know,"Yes, I think it would",male,30
No,No,Maybe,No,I don't know,"No, I don't think it would",male,30
No,No,Yes,No,I don't know,Maybe,male,44
